contract_start,contract_end,contract_type,rent_recurrence,building_raw,building_name,unit_number,annualized_rent,size_sqft,bedrooms,floor_level,view
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C8,1610000.0,13358.0,,13,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C5,1610000.0,4208.68,,G,Sea View / Beach View
2024-06-13,2030-06-12,Rental Contracts,Renewal,Azure Residences,Marina Residences,PJAZFB09,61848.99,3768.33,,G,
2024-06-09,2030-06-08,Rental Contracts,Renewal,Azure Residences,Marina Residences,02,34537.75,1822.44,,G,
2024-06-09,2030-06-08,Rental Contracts,Renewal,Azure Residences,Marina Residences,03,34537.75,1799.08,,G,
2024-06-09,2030-06-08,Rental Contracts,Renewal,Azure Residences,Marina Residences,01,34537.75,2273.34,,G,
2024-06-09,2030-06-08,Rental Contracts,Renewal,Azure Residences,Marina Residences,04,34537.75,2522.41,,G,
2025-04-14,2030-04-13,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E063,499587.96,2059.03,,2,
2024-12-15,2029-12-14,Rental Contracts,New Contract,Azure Residences,Marina Residences,07,211829.58,1128.92,,G,
2024-12-15,2029-12-14,Rental Contracts,New Contract,Dusit Emirates Saray (Al Osaimi Beach Resort & Spa),Al Shamsi,RETAIL6,286600.0,1240.22,,G,
2024-12-15,2029-12-14,Rental Contracts,New Contract,Dusit Emirates Saray (Al Osaimi Beach Resort & Spa),Al Shamsi,RETAIL5,286600.0,1245.06,,G,
2024-12-01,2029-11-30,Rental Contracts,Renewal,The Palm Tower,Palm Tower,2008,120000.0,516.67,0.0,20,
2024-11-30,2029-11-29,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E037,1379860.32,3940.99,,2,
2021-01-01,2029-11-27,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E016,3183154.35,2077.0,,2,Street View / Community View
2023-11-28,2029-11-27,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,827067.5,2062.04,,,
2023-11-27,2029-11-27,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,400140.31,1491.02,,,
2019-11-28,2029-11-27,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F031,4984954.19,30577.98,,1,Street View / Community View
2024-11-28,2029-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,E085,585012.38,2845.65,,2,
2019-11-28,2029-11-27,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E030,4984954.19,33284.99,,2,Street View / Community View
2024-08-15,2029-11-11,Rental Contracts,New Contract,Signature Villas Frond O (Al Safawi),Al Sahab,PJFRO126,1364000.0,6999.98,6.0,,
2023-11-02,2029-11-01,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,511132.65,2297.99,,,
2019-11-01,2029-10-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E028,462054.0,1491.02,,2,Street View / Community View
2024-11-01,2029-10-31,Rental Contracts,New Contract,Garden Homes Frond M (Al Sefri),Al Seef,PJFRM071,100000.0,6000.01,4.0,,
2019-11-01,2029-10-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E029.6B,462054.0,758.96,,2,Street View / Community View
2024-06-25,2029-09-24,Rental Contracts,New Contract,Signature Villas Frond A (Al Fardh),Al Fahad,PJFRA046,1350047.62,6999.98,5.0,,
2024-09-19,2029-09-18,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F003C,170579.39,932.05,,1,
2024-09-19,2029-09-18,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F007,227439.18,1380.04,,1,
2024-09-19,2029-09-18,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F044,279488.22,1694.99,,1,
2024-09-03,2029-09-03,Rental Contracts,New Contract,Shoreline - Jash Hamad,Jash Hamad,PH06,23986.67,5242.02,3.0,9,
2024-09-01,2029-08-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F006,346251.62,1437.95,,1,
2024-09-01,2029-08-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F004B,618500.0,2474.08,,1,
2024-09-01,2029-08-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F009,467616.55,1202.97,,1,
2022-09-01,2029-08-31,Rental Contracts,New Contract,THE POINTE - BLOCK B,The 8,TPTFBIN01,714774.36,3948.52,,1,
2022-09-01,2029-08-31,Rental Contracts,New Contract,THE POINTE - BLOCK B,The 8,TPTGBIN01,714774.36,4007.29,,,
2024-09-01,2029-08-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E002,269012.03,1130.96,,2,
2024-09-01,2029-08-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F048,439549.68,1577.99,,1,
2024-08-30,2029-08-29,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,P042,270420.84,881.03,,G,
2024-08-29,2029-08-28,Rental Contracts,New Contract,Oceana - Atlantic,Oceana,1102,220000.0,2443.41,3.0,12,
2024-07-31,2029-07-30,Rental Contracts,Renewal,Palm West Beach ? B2,Palm Tower,PWBB2FB2,610580.5,2124.58,,G,
2024-07-31,2029-07-30,Rental Contracts,Renewal,Palm West Beach ? B2,Palm Tower,PWBB2FB1,610580.5,2124.58,,G,
2024-07-26,2029-07-25,Rental Contracts,New Contract,Shoreline - Hallawi,Al Hallawi,506,20000.0,2012.85,2.0,5,
2024-05-31,2029-05-30,Rental Contracts,New Contract,Signature Villas Frond C (Al Hilali),Al Khayali,PJFRC130,1600000.0,6999.98,6.0,,
2024-05-30,2029-05-29,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E089,280315.38,1700.05,,2,
2024-05-30,2029-05-29,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E088,280315.38,1680.03,,2,
2024-05-09,2029-05-08,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,500689.19,2516.92,,,
2024-05-09,2029-05-08,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,NKMB1012,500689.19,2516.92,,G,
2024-05-01,2029-04-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E056,290000.0,1257.98,,2,
2024-05-01,2029-04-30,Rental Contracts,Renewal,Signature Villas Frond M (Al Sefri),Al Seef,PJFRM148,120000.0,6999.98,6.0,,
2025-05-01,2029-04-30,Rental Contracts,New Contract,Golden Mile 02,Golden Mile,RT02,204395.25,1620.51,,B1,
2024-04-01,2029-03-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F045,252799.25,1527.18,,1,
2024-04-01,2029-03-31,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,252799.25,1527.18,,,
2024-04-01,2029-03-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F003C,170577.33,932.05,,1,
2024-04-01,2029-03-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F059A,179197.37,1080.91,,1,
2024-04-01,2029-03-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F044,279488.22,1694.99,,1,
2022-03-22,2029-03-21,Rental Contracts,New Contract,Palm West Beach Club,Palm Tower,PWBCFFFB01,3128000.0,12511.42,,G,
2022-03-07,2029-03-06,Rental Contracts,New Contract,Palm West Beach Club,Palm Tower,PWBCFB02A03,1940400.0,8820.69,,G,
2024-03-03,2029-03-02,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E058,400000.0,2101.01,,2,
2020-01-05,2029-01-04,Rental Contracts,New Contract,Signature Villas Frond N (Al Naghal),,PJFRN030,800000.0,13762.08,5.0,,
2023-12-29,2028-12-28,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F010B,281042.3,878.01,,1,
2023-12-29,2028-12-28,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F010A,281042.3,702.99,,1,
2024-08-06,2028-12-28,Rental Contracts,New Contract,Palm West Beach Club,Palm Tower,PWBCFB07,1165033.13,5628.66,,G,
2023-12-01,2028-11-30,Rental Contracts,New Contract,Waldorf Astoria Hotel Dubai Palm Jumeirah,,6,1943500.0,9784.39,,LG,
2024-11-28,2028-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,B1011,661509.38,2603.03,,LG,
2024-11-28,2028-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,B1010,661509.38,2559.98,,LG,
2023-11-12,2028-11-11,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,807898.06,2543.94,,,
2023-11-01,2028-10-31,Rental Contracts,Renewal,The Fairmont Palm Hotel and Resort,The Fairmont Palm Residences,PPH7,1000000.0,33508.02,,P3,
2024-09-01,2028-10-29,Rental Contracts,New Contract,Garden Homes Frond E (Al Bumaan),Al Malak,PJFRE014,783410.85,5343.95,5.0,,
2023-09-25,2028-09-24,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,2160000.0,4758.5,,,
2024-09-01,2028-08-31,Rental Contracts,New Contract,Palm West Beach ? B3,Palm Tower,PWBB3FB1,961695.31,2124.47,,G,
2024-09-01,2028-08-31,Rental Contracts,New Contract,Palm West Beach ? B3,Palm Tower,PWBB3FB2,961695.31,2124.47,,G,
2024-08-19,2028-08-19,Rental Contracts,New Contract,Golden Mile 01,Golden Mile,1606,32478.17,1280.9,1.0,6,
2025-10-01,2028-07-31,Rental Contracts,Renewal,Azure Residences,Marina Residences,617,60000.0,2023.61,2.0,6,
2024-06-01,2028-07-29,Rental Contracts,New Contract,Garden Homes Frond C (Al Hilali),Al Ghaf,PJFRC071,865116.28,5000.05,4.0,,
2024-07-01,2028-06-30,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,931000.0,4360.35,,,
2023-06-01,2028-05-31,Rental Contracts,Renewal,Golden Mile 07,Golden Mile,GM2B7ANCHORM1,1347277.61,18806.58,,M,
2023-05-11,2028-05-10,Rental Contracts,New Contract,Palm Views East,,G07,421900.0,4118.91,,G,
2023-05-01,2028-04-30,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,308720.0,2267.31,,,
2023-05-01,2028-04-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F084B,252700.0,992.97,,1,
2023-05-01,2028-04-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E073,319390.0,1680.03,,2,
2023-05-01,2028-04-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F086,299440.0,1576.05,,1,
2023-04-07,2028-04-06,Rental Contracts,New Contract,Golden Mile 07,Golden Mile,GM2B7RT43B,104355.3,334.22,,B1,Community View / Garden View
2023-04-07,2028-04-06,Rental Contracts,New Contract,Golden Mile 07,Golden Mile,GM2B7RT43A,104355.3,330.45,,B1,Community View / Garden View
2023-04-07,2028-04-06,Rental Contracts,New Contract,Golden Mile 07,Golden Mile,GM2B7FB17,104355.3,2311.87,,B1,Community View / Garden View
2023-04-01,2028-03-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,R006,1510265.19,6832.6,,R,Street View / Community View
2021-03-16,2028-03-15,Rental Contracts,New Contract,Balqis Residence 2,Balqis Residences,GR05,233333.33,1021.82,,G,Pool View / Garden View
2021-03-16,2028-03-15,Rental Contracts,New Contract,Balqis Residence 2,Balqis Residences,GR14,233333.33,449.61,,G,Pool View / Garden View
2021-03-16,2028-03-15,Rental Contracts,New Contract,Balqis Residence 2,Balqis Residences,GR07,233333.33,5283.25,,G,
2021-03-16,2028-03-15,Rental Contracts,New Contract,Balqis Residence 2,Balqis Residences,GR01,233333.33,548.64,,G,Pool View / Garden View
2021-03-16,2028-03-15,Rental Contracts,New Contract,Balqis Residence 2,Balqis Residences,GR02,233333.33,599.23,,G,Pool View / Garden View
2021-03-16,2028-03-15,Rental Contracts,New Contract,Balqis Residence 2,Balqis Residences,GR06,233333.33,1004.38,,G,Pool View / Garden View
2024-03-15,2028-03-14,Rental Contracts,New Contract,Garden Homes Frond B (Al Khalas),Al Ghaf,PJFRB048,800000.0,5343.95,5.0,,
2025-03-01,2028-02-29,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F012,170497.71,319.04,,1,
2025-02-16,2028-02-15,Rental Contracts,Renewal,Golden Mile 08,Golden Mile,GM2B8RT26B,257655.06,726.35,,B1,
2025-02-01,2028-01-31,Rental Contracts,New Contract,Sofitel Dubai The Palm Resort & Spa,The 8,18,266875.0,2116.18,4.0,G,
2024-01-24,2028-01-23,Rental Contracts,New Contract,Golden Mile 05,Golden Mile,RT16,137032.5,842.71,,B1,
2024-10-16,2028-01-15,Rental Contracts,New Contract,Royal Bay,Royal Atlantis,NAN,300000.0,5694.1,,,
2024-10-16,2028-01-15,Rental Contracts,New Contract,Royal Bay,Royal Atlantis,F&B01,1000000.0,5694.1,,G,
2025-01-13,2028-01-12,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E043,550205.83,1694.02,,2,
2024-10-05,2028-01-04,Rental Contracts,New Contract,Garden Homes Frond L (Al Fara),Al Fahad,PJFRL090,860000.0,5000.05,4.0,,
2022-12-31,2027-12-30,Rental Contracts,New Contract,Golden Mile 08,Golden Mile,GM2B8RT27,221763.6,2101.33,,B1,
2024-12-31,2027-12-30,Rental Contracts,New Contract,Golden Mile 05,Golden Mile,RT14,165333.22,835.39,,B1,
2024-12-31,2027-12-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,B1019A,249572.92,475.01,,LG,
2024-12-31,2027-12-30,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,P041A,231815.25,562.95,,G,
2024-12-30,2027-12-29,Rental Contracts,New Contract,Palm Views West,,G04,530040.33,2492.6,,G,
2022-12-22,2027-12-21,Rental Contracts,New Contract,Garden Homes Frond D (Al Barhi),Al Basri,PJFRD044,50000.0,5000.05,4.0,,
2024-12-15,2027-12-14,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,F013A,2400910.95,4505.98,,1,
2022-12-12,2027-12-11,Rental Contracts,New Contract,Dusit Emirates Saray (Al Osaimi Beach Resort & Spa),Al Shamsi,RETAIL7,5000.0,902.66,,G,
2022-12-12,2027-12-11,Rental Contracts,New Contract,Dusit Emirates Saray (Al Osaimi Beach Resort & Spa),Al Shamsi,RETAIL8,5000.0,911.38,,G,
2024-11-28,2027-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,F018,840558.6,2531.02,,1,
2024-11-28,2027-11-27,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,P051C,459131.75,934.95,,G,
2024-11-28,2027-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,B1001A,525195.99,1856.88,,LG,
2024-11-28,2027-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,B1003A,525195.99,1683.04,,LG,
2024-11-28,2027-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,B1002,525195.99,2555.03,,LG,
2024-11-28,2027-11-27,Rental Contracts,Renewal,Nakheel Mall,Al Msalli,P065B,327469.24,444.01,,G,
2024-11-26,2027-11-25,Rental Contracts,Renewal,Golden Mile 03,Golden Mile,RT08C,72772.19,306.45,,B1,
2022-11-23,2027-11-23,Rental Contracts,Renewal,Golden Mile 03,Golden Mile,3208,159911.16,3326.05,3.0,2,Community View / Garden View
2022-11-23,2027-11-22,Rental Contracts,New Contract,Club Vista Mare,Club Vista Mare,008,1561728.3,7703.51,,G,
2024-11-13,2027-11-12,Rental Contracts,Renewal,Golden Mile 04,Golden Mile,FB10,340744.96,2049.23,,B1,
2022-11-11,2027-11-10,Rental Contracts,New Contract,Garden Homes Frond O (Al Safawi),Al Sahab,PJFRO072,,5000.05,4.0,,
2024-11-10,2027-11-09,Rental Contracts,Renewal,Golden Mile 10,Golden Mile,GM2B10RT32,229125.87,2353.85,,B1,
2024-11-10,2027-11-09,Rental Contracts,Renewal,Golden Mile 10,Golden Mile,GM2B10RT44,229125.87,677.48,,B1,
2022-10-10,2027-11-09,Rental Contracts,New Contract,Garden Homes Frond M (Al Sefri),Al Seef,PJFRM017,617927.37,5000.05,4.0,,
2024-11-10,2027-11-09,Rental Contracts,Renewal,Golden Mile 07,Golden Mile,GM2B7RT21,1552772.65,4279.08,,B1,
2024-11-08,2027-11-07,Rental Contracts,New Contract,Seven Hotel and Apartments The Palm,Seven Palm,R07,700000.0,2325.0,,G,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0604,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0413,26.88,419.79,1.0,4,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0407,26.88,419.79,1.0,4,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0607,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0619,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0620,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0917,26.88,419.79,1.0,9,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0920,26.88,419.79,1.0,9,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0210,26.88,419.79,1.0,2,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0606,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0408,26.88,419.79,1.0,4,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1018,227.27,419.79,1.0,10,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0414,26.88,419.79,1.0,4,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0209,26.88,419.79,1.0,2,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0509,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0808,26.88,419.79,1.0,8,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0603,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0809,26.88,419.79,1.0,8,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0720,26.88,419.79,1.0,7,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0717,26.88,419.79,1.0,7,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1019,227.27,419.79,1.0,10,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0716,26.88,419.79,1.0,7,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0412,26.88,419.79,1.0,4,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0715,26.88,419.79,1.0,7,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0714,26.88,419.79,1.0,7,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0206,26.88,419.79,1.0,2,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0510,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0601,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0916,26.88,419.79,1.0,9,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0517,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0502,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0912,26.88,419.79,1.0,9,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0605,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0907,26.88,419.79,1.0,9,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0608,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0503,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0911,26.88,419.79,1.0,9,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0515,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0504,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0722,26.88,419.79,1.0,7,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0514,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0506,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0507,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0609,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0610,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0611,26.88,419.79,1.0,6,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0512,26.88,419.79,1.0,5,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0214,26.88,419.79,1.0,2,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0213,26.88,419.79,1.0,2,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0212,26.88,419.79,1.0,2,
2017-11-07,2027-11-06,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0616,26.88,419.79,1.0,6,
