rent_type,date,start_date,end_date,community,property,property_type,unit,bedrooms,floor,primary_view,secondary_view,parking,balcony_area,size_sqf,land_size,annual_rent_aed
New,2019-06-23T00:00:00,2018-12-14T00:00:00,2023-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN25,,,,,,,1422.34,,494323.16
New,2019-04-22T00:00:00,2018-08-14T00:00:00,2021-08-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN18A,,,,,,,1035.16,,148276.44
New,2019-02-05T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN23,,,,,,,2687.85,,498780.0
New,2019-01-23T00:00:00,2016-11-20T00:00:00,2021-11-19T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT- G-A-IN28,,,,,,,845.29,,477405.0
New,2018-12-27T00:00:00,2018-01-29T00:00:00,2023-01-28T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN19,,,,,,,3365.66,,828960.0
New,2018-12-25T00:00:00,2018-09-15T00:00:00,2023-09-14T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN24,,,,,,,1421.37,,480490.13
New,2018-12-13T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN14A,,,,,,,611.28,,189172.6
New,2018-12-10T00:00:00,2018-12-10T00:00:00,2021-12-09T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN26,,,,,,,1422.77,,402570.0
New,2018-11-28T00:00:00,2016-12-31T00:00:00,2021-12-30T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN28A,,,,,,,708.7,,389013.75
New,2018-11-28T00:00:00,2018-06-25T00:00:00,2021-06-24T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN17B,,,,,,,124.43,,56571.2
New,2018-11-14T00:00:00,2017-12-02T00:00:00,2020-12-01T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN30,,,,,,,845.29,,292236.75
New,2018-11-12T00:00:00,2018-04-07T00:00:00,2021-04-06T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN13,,,,,,,3134.99,,916066.6
New,2018-11-06T00:00:00,2017-12-27T00:00:00,2022-12-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN12,,,,,,,4487.79,,1083182.86
New,2018-11-06T00:00:00,2017-11-19T00:00:00,2020-11-18T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN18,,,,,,,1730.84,,557046.75
New,2018-11-06T00:00:00,2018-10-01T00:00:00,2023-09-30T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN25,,,,,,,1422.66,,475044.53
New,2018-11-04T00:00:00,2017-07-30T00:00:00,2020-07-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN16A,,,,,,,911.92,,401838.67
New,2018-11-01T00:00:00,2018-11-15T00:00:00,2023-11-14T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN20,,,,,,,3364.69,,763430.71
New,2018-11-01T00:00:00,2018-08-30T00:00:00,2023-08-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN27,,,,,,,1422.56,,507038.41
New,2018-11-01T00:00:00,2018-10-01T00:00:00,2021-09-30T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN28B,,,,,,,711.49,,275650.0
New,2018-10-31T00:00:00,2017-12-02T00:00:00,2020-12-01T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN24,,,,,,,1420.3,,472875.0
New,2018-10-31T00:00:00,2017-10-22T00:00:00,2020-10-21T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN22,,,,,,,3021.21,,1130764.9
New,2018-10-31T00:00:00,2018-06-23T00:00:00,2021-06-22T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN15B,,,,,,,611.07,,125800.0
New,2018-10-31T00:00:00,2018-06-23T00:00:00,2021-06-22T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN18B,,,,,,,695.67,,142800.0
New,2018-10-30T00:00:00,2017-08-20T00:00:00,2020-08-19T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN13A,,,,,,,911.7,,352346.01
New,2018-10-30T00:00:00,2018-08-30T00:00:00,2023-08-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN31,,,,,,,410.75,,146001.24
New,2018-10-29T00:00:00,2018-01-30T00:00:00,2021-01-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT- G-A-IN29,,,,,,,410.75,,159516.5
New,2018-10-28T00:00:00,2018-02-27T00:00:00,2023-02-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN12,,,,,,,4488.55,,769486.64
New,2018-10-28T00:00:00,2016-11-30T00:00:00,2019-11-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN29,,,,,,,1353.56,,907920.0
New,2020-01-30T00:00:00,2019-12-14T00:00:00,2023-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN24,,,,,,,1421.37,,509473.17
New,2019-11-27T00:00:00,2019-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN29,,,,,,,1353.56,,914880.0
New,2019-08-19T00:00:00,2019-10-09T00:00:00,2022-10-08T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT--G-B-IN15A,,,,,,,511.93,,161239.87
New,2019-07-16T00:00:00,2019-09-02T00:00:00,2022-09-01T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN14B,,,,,,,501.38,,107000.0
New,2019-01-14T00:00:00,2019-02-25T00:00:00,2022-02-24T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT- G-A-IN21,,,,,,,3432.28,,554530.61
New,2018-12-20T00:00:00,2019-01-19T00:00:00,2022-01-18T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN12A,,,,,,,117,,54723.74
New,2018-12-17T00:00:00,2019-04-29T00:00:00,2022-04-28T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN12A,,,,,,,116.9,,42612.0
New,2018-11-21T00:00:00,2019-01-01T00:00:00,2025-12-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN26,,,,,,,1411.04,,312272.29
New,2019-09-24T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN28B,,,,,,,711.49,,275650.0
New,2018-12-17T00:00:00,2019-01-19T00:00:00,2022-01-18T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- G-B-IN12A,,,,,,,117,,54723.74
New,2018-11-15T00:00:00,2018-02-27T00:00:00,2023-02-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN12,,,,,,,4488.55,,769486.64
New,2018-10-25T00:00:00,2018-02-27T00:00:00,2023-02-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN12,,,,,,,4488.55,,769486.64
New,2019-03-11T00:00:00,2018-01-21T00:00:00,2021-01-20T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN09,,1,,,,,2437.05,,736600.0
New,2019-01-23T00:00:00,2018-09-01T00:00:00,2021-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN06,,1,,,,,2460.95,,976770.6
New,2018-12-17T00:00:00,2018-12-14T00:00:00,2023-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- F-B-IN08,,1,,,,,2436.41,,733704.4
New,2018-10-30T00:00:00,2018-10-30T00:00:00,2021-10-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN12,,1,,,,,3208.5,,703217.67
New,2018-10-29T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN08,,1,,,,,2436.73,,
New,2018-10-25T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN08,,1,,,,,2436.73,,960882.0
New,2019-11-04T00:00:00,2019-11-01T00:00:00,2020-04-30T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- F-B-IN08,,1,,,,,2436.41,,263942.6
New,2019-10-31T00:00:00,2019-11-01T00:00:00,2020-04-30T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- F-B-IN08,,1,,,,,2436.41,,
New,2018-10-29T00:00:00,2019-03-27T00:00:00,2022-03-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN23,,1,,,,,1537.84,,333710.67
New,2018-11-07T00:00:00,2019-03-27T00:00:00,2022-03-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN23,,1,,,,,1537.84,,333710.67
New,2019-11-13T00:00:00,2019-09-01T00:00:00,2024-08-31T00:00:00,Palm Jumeirah,Palm West Beach ? B6,Commercial,PWB-B6-FB2,,G,,,,,2124.47,,743400.0
New,2019-08-24T00:00:00,2019-08-24T00:00:00,2020-08-31T00:00:00,Palm Jumeirah,Royal Central Hotel,Office,Administration,,G,,,,,810.63,,100000.0
New,2020-01-23T00:00:00,2020-03-07T00:00:00,2025-03-06T00:00:00,Palm Jumeirah,Palm West Beach ? B1,Commercial,PWB-B1-FB2,,G,,,,,2018.02,,669043.68
New,2020-01-09T00:00:00,2020-03-19T00:00:00,2025-03-18T00:00:00,Palm Jumeirah,Palm West Beach ? B6,Commercial,PWB-B6-FB1,,G,,,,,2124.58,,704518.25
New,2018-11-14T00:00:00,2018-12-03T00:00:00,2020-12-02T00:00:00,Palm Jumeirah,M Gallery,Commercial,G10,,G,,,,,5511.12,,5000.0
New,2019-10-15T00:00:00,2019-10-01T00:00:00,2020-09-30T00:00:00,Palm Jumeirah,Royal Central Hotel,Office,Administration,,G,,,,,810.63,,100000.0
New,2019-01-10T00:00:00,2018-05-12T00:00:00,2019-05-11T00:00:00,Palm Jumeirah,Waldorf Astoria Hotel Dubai Palm Jumeirah,Commercial,4,,G,,,,,807.29,,330000.0
New,2020-02-04T00:00:00,2019-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN11,,G,,,,,2918.95,,1674354.0
New,2019-11-19T00:00:00,2019-05-01T00:00:00,2020-04-30T00:00:00,Palm Jumeirah,Waldorf Astoria Hotel Dubai Palm Jumeirah,Commercial,1,,G,,,,,269.1,,95000.0
New,2020-02-05T00:00:00,2019-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN11,,G,,,,,2918.95,,837177.0
New,2019-11-18T00:00:00,2019-11-01T00:00:00,2020-10-31T00:00:00,Palm Jumeirah,C CENTRAL RESORT,Commercial,Gift Shop,,G,,,,,166.09,,60000.0
New,2019-09-15T00:00:00,2019-07-01T00:00:00,2020-06-30T00:00:00,Palm Jumeirah,Royal Central Hotel,Commercial,SHOP,,G,,,,,152.96,,60000.0
New,2019-03-11T00:00:00,2019-06-12T00:00:00,2022-06-11T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN01A,,G,,,,,174.16,,62734.75
New,2019-02-24T00:00:00,2019-02-21T00:00:00,2024-04-29T00:00:00,Palm Jumeirah,W Dubai - The Palm,Commercial,Hair Salon,,G,,,,,1345.49,,387300.0
New,2019-02-10T00:00:00,2019-09-01T00:00:00,2022-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN07,,G,,,,,1707.05,,450750.0
New,2018-12-24T00:00:00,2017-05-10T00:00:00,2027-05-09T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN01-02-03-04-05 & 06,,G,,,,,14432.34,,3962755.29
New,2018-11-12T00:00:00,2016-10-29T00:00:00,2021-10-28T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-14,,G,,,,,1467.66,,614800.0
New,2018-11-11T00:00:00,2016-10-14T00:00:00,2026-10-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-13,,G,,,,,2092.5,,874076.0
New,2018-11-06T00:00:00,2018-10-21T00:00:00,2023-10-20T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN01-02-03-03A-04-04A-05,,G,,,,,8601.32,,812160.0
New,2018-11-05T00:00:00,2018-09-01T00:00:00,2021-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN08,,G,,,,,1525.03,,204360.0
New,2018-11-04T00:00:00,2018-09-01T00:00:00,2021-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN10A,,G,,,,,314.41,,116170.18
New,2018-11-01T00:00:00,2018-11-01T00:00:00,2021-10-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN12,,G,,,,,1518.46,,283500.0
New,2018-11-01T00:00:00,2017-08-12T00:00:00,2020-08-11T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-IN08,,G,,,,,1525.03,,661184.33
New,2018-11-01T00:00:00,2017-08-12T00:00:00,2020-08-11T00:00:00,Palm Jumeirah,THE POINTE - BLOCK D,Commercial,TPT-G-D-09,,G,,,,,1681,,725915.67
New,2018-10-30T00:00:00,2016-11-27T00:00:00,2019-11-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-10,,G,,,,,224.1,,231472.09
New,2018-10-30T00:00:00,2017-10-22T00:00:00,2020-10-21T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN10A,,G,,,,,310.65,,156106.65
New,2018-10-29T00:00:00,2018-03-24T00:00:00,2021-03-23T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-09,,G,,,,,1689.72,,644006.13
New,2018-10-29T00:00:00,2018-02-24T00:00:00,2021-02-23T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN06,,G,,,,,1209.97,,356441.6
New,2018-10-28T00:00:00,2017-12-26T00:00:00,2020-12-25T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN06A,,G,,,,,496.97,,272288.0
New,2018-10-29T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN21,,,,,,,3439.71,,
New,2020-01-27T00:00:00,2019-12-14T00:00:00,2023-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-G-B-IN17,,,,,,,4505.98,,847368.37
New,2018-10-29T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN13,,,,,,,3111.95,,
New,2018-11-04T00:00:00,2018-04-27T00:00:00,2023-04-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN11,,G,,,,,2889.68,,141672.13
New,2018-11-04T00:00:00,2018-04-27T00:00:00,2023-04-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN14,,G,,,,,1467.66,,141672.13
New,2018-10-29T00:00:00,2018-04-27T00:00:00,2023-04-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN13,,G,,,,,2092.5,,141672.13
New,2018-10-29T00:00:00,2018-04-27T00:00:00,2023-04-26T00:00:00,Palm Jumeirah,THE POINTE - BLOCK C,Commercial,TPT-G-C-IN12,,G,,,,,1540.31,,141672.13
Renewed,2018-11-12T00:00:00,2018-09-14T00:00:00,2019-09-13T00:00:00,Palm Jumeirah,M Gallery,Commercial,G9,,G,,,,,1689.93,,2500.0
Renewed,2018-11-12T00:00:00,2018-09-14T00:00:00,2019-09-13T00:00:00,Palm Jumeirah,M Gallery,Commercial,G8,,G,,,,,322.92,,2500.0
New,2020-01-27T00:00:00,2019-12-14T00:00:00,2023-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-F-B-IN17,,1,,,,,3209.15,,847368.37
New,2020-01-09T00:00:00,2019-02-17T00:00:00,2023-02-16T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN22,,1,,,,,1818.24,,783249.92
New,2019-02-20T00:00:00,2018-09-01T00:00:00,2023-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-F-B-IN17,,1,,,,,3209.15,,815425.22
New,2019-01-24T00:00:00,2018-12-14T00:00:00,2023-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN10,,1,,,,,2436.62,,685571.04
New,2019-01-06T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN14,,1,,,,,3188.7,,681930.0
New,2018-12-20T00:00:00,2019-04-28T00:00:00,2024-04-27T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-F-B-IN02,,1,,,,,3555.64,,1211146.65
New,2018-11-12T00:00:00,2018-09-01T00:00:00,2021-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- F-B-IN15,,1,,,,,3188.59,,714295.0
New,2018-11-12T00:00:00,2018-09-01T00:00:00,2021-08-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- F-B-IN14,,1,,,,,3189.56,,714295.0
New,2018-11-08T00:00:00,2019-02-01T00:00:00,2024-01-31T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-F-A-IN04,,1,,,,,2756.63,,682400.0
New,2018-11-05T00:00:00,2018-08-30T00:00:00,2023-08-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT- F-B-IN06,,1,,,,,2457.4,,775983.0
New,2018-11-05T00:00:00,2018-08-30T00:00:00,2023-08-29T00:00:00,Palm Jumeirah,THE POINTE - BLOCK B,Commercial,TPT-F-B-IN07,,1,,,,,2440.07,,775983.0
